refnumber,xptfilename,xptdataset,datasetprefix,datasetmodule,genericdescription,xpttablealias,rxpttable,cdiscdescription
1,BATES-93_tv,tv,s_d,,"Trial Visits",bates_fda_93_tv,BATES_93_tv,"This dataset (TV) contains the planned order of visits in the study within each trial arm. Visits are defined as clinical encounters."
2,BATES-FDA-CBER-2021-5683-0002376_relrec,relrec,s_d,,"Related Records",bates_fda_relrec,BATES_FDA_CBER_2021_5683_0002376_relrec,"This is a dataset (RELREC) that represents relations among datasets or records. There are two types of relationships:  those between independent records for a trial subject, such as a concomitant medication taken to treat an adverse event; and those between two or datasets that have records related to each other."
3,BATES-FDA-CBER-2021-5683-0002377_supppr,supppr,s_d,,"Procedures Supplemental Qualifiers",bates_fda_supppr,BATES_FDA_CBER_2021_5683_0002377_supppr,"This dataset holds additional (SuppPR) findings about Procedures that cannot be held in the standard dataset. In this case, the extra information is about the medical dictionary versions and terminology employed."
4,BATES-FDA-CBER-2021-5683-0002378_ta,ta,s_d,,"Trial Arms",bates_fda_ta,BATES_FDA_CBER_2021_5683_0002378_ta,"This dataset (TA) contains information about each planned Arm in a clinical trial, for example screening and pre-dose assessment."
5,BATES-FDA-CBER-2021-5683-0002379_te,te,s_d,,"Trial Elements",bates_fda_te,BATES_FDA_CBER_2021_5683_0002379_te,"This dataset (TE) contains the definitions of the elements that appear in the Trial Arms dataset. An element may appear multiple times in the Trial Arms because it either appears in multiple arms, multiple times within one arm, or both."
6,BATES-FDA-CBER-2021-5683-0002380_ti,ti,s_d,,"Trial Inclusion Exclusion Criteria",bates_fda_ti,BATES_FDA_CBER_2021_5683_0002380_ti,"This dataset (TI) contains each of the inclusion and exclusion criteria for the clinical trial. An example of a criterion is Received any vaccination within the 28 days prior to Visit 0."
7,FDA-CBER-2021-5683-0059000-to-0065773_125742_S1_M5_c4591001-A-D-adcevd,adcevd,a_d,s1_m5,"Reactogenicity Analysis Dataset",fda_s1_m5_a_d_adcevd,FDA_CBER_2021_5683_0059000_to__0065773_125742_S1_M5_c4591001_A__,"This is a special dataset (ADCEVD) tailored to support the analysis of Adverse Events that the NIH terms Reactogenicity Events. These are common and known to occur for the intervention being studied and graded as Absent, Mild, Moderate, Severe or Life-threatening. This type of special Analysis dataset can include values drawn from Tabulation data and from other Analysis datasets.  Data values may also be derived."
8,FDA-CBER-2021-5683-0065774-to-0066700_125742_S1_M5_c4591001-A-D-addv,addv,a_d,s1_m5,"Protocol Deviations Analysis Dataset",fda_s1_m5_a_d_addv,FDA_CBER_2021_5683_0065774_to_0066700_125742_S1_M5_c4591001_A_D_,"This is a special dataset (ADDV) tailored to the analysis of deviations from trial protocol such as a telephone call not being made when it should have been or visit happening too late or a specific blood test not being conducted."
9,FDA-CBER-2021-5683-0066701-to-0123167_125742_S1_M5_c4591001-A-D-adfacevd,adfacevd,a_d,s1_m5,"Reactogenicity Findings Analysis Dataset",fda_s1_m5_a_d_adfacevd,FDA_CBER_2021_5683_0066701_to__0123167_125742_S1_M5_c4591001_A__,"This dataset (ADFACEVD) is an expanded analysis dataset focused on Adverse Events that the NIH terms Reactogenicity Events. This expanded analysis dataset includes details of analysis visits conducted and outcomes."
10,"FDA-CBER-2021-5683-0123168 to -0126026_125742_S1_M5_c4591001-A-D-adva",adva,a_d,s1_m5,"Immunogenicity Analysis Dataset",fda_s1_m5_a_d_adva,FDA_CBER_2021_5683_0123168_to__0126026_125742_S1_M5_c4591001_A__,"This is a special dataset (ADVA) tailored to support the analysis of the ability of a substance is able to stimulate an immune response.  In this case, the immune response is assessed using blood-related tests such as COVID-19 RBD IgG (U/mL) - Luminex Immunoassay and N-binding antibody - N-binding Antibody Assay."
11,"FDA-CBER-2021-5683-0142307 to -0149081_125742_S1_M5_c4591001-A-Supp-D-adcevd",adcevd,a_supp_d,s1_m5,"Reactogenicity Analysis Dataset Supplement",fda_s1_m5_a_supp_d_adcevd,FDA_CBER_2021_5683_0142307_to__0149081_125742_S1_M5_c4591001_A__,"This is a special dataset (ADCEVD) tailored to support the analysis of Adverse Events that the NIH terms Reactogenicity Events. These are common and known to occur for the intervention being studied and graded as Absent, Mild, Moderate, Severe or Life-threatening. This type of special Analysis dataset can include values drawn from Tabulation data and from other Analysis datasets.  Data values may also be derived."
12,"FDA-CBER-2021-5683-0149082 to -0158559_125742_S1_M5_c4591001-S-D-ce",ce,s_d_ce,s1_m5,"Clinical Events",fda_s1_m5_s_d_ce,FDA_CBER_2021_5683_0149082_to__0158559_125742_S1_M5_c4591001_S__,"This dataset (CE) contains information about events that are of clinical interest but which are not classified as Adverse Events.  In this case, examples are chills, fever, fatigue, vomiting."
13,"FDA-CBER-2021-5683-0158560 to -0159486_125742_S1_M5_c4591001-S-D-dv",dv,s_d,s1_m5,"Protocol Deviations",fda_s1_m5_s_d_dv,FDA_CBER_2021_5683_0158560_to__0159486_125742_S1_M5_c4591001_S__,"This dataset (DV) records Protocol Deviations - events where the clinical trial protocol is violated or a deviation from the protocol happens.  These events can be a telephone call not being made when it should have been or visit happening too late or a specific blood test not being conducted."
14,"FDA-CBER-2021-5683-0159487 to -0162689_125742_S1_M5_c4591001-S-D-ec",ec,s_d,s1_m5,"Exposure as Collected",fda_s1_m5_s_d_ec,FDA_CBER_2021_5683_0159487_to__0162689_125742_S1_M5_c4591001_S__,"This dataset (EC) records the details of a trial subject's Exposure as Collected to protocol-specified treatments but with information hidden about whether a placebo or trial drug was administered. "
15,"FDA-CBER-2021-5683-0162690 to -0165892_125742_S1_M5_c4591001-S-D-ex",ex,s_d,s1_m5,Exposure,fda_s1_m5_s_d_ex,FDA_CBER_2021_5683_0162690_to__0165892_125742_S1_M5_c4591001_S__,"This dataset (EX) records the details of a trial subject's Exposure to protocol-specified treatments such as placebos and the drug being investigated. The significant aspect of this dataset is that details of whether a placebo or trial drug were administered are exposed."
