siteid;screened;randomized
1001;148;112
1002;87;56
1003;209;167
1005;442;427
1006;296;275
1007;660;586
1008;942;934
1009;414;392
1011;236;226
1012;188;175
1013;882;830
1015;264;260
1016;386;371
1018;351;296
1019;323;305
1021;252;248
1022;176;166
1024;132;124
1027;217;212
1028;296;286
1030;158;153
1036;145;129
1037;360;341
1038;141;127
1039;334;308
1042;269;226
1044;385;378
1046;348;337
1047;332;317
1048;133;127
1052;178;159
1054;214;182
1055;244;237
1056;643;613
1057;455;431
1066;434;425
1068;118;116
1071;249;225
1072;101;99
1073;130;116
1077;298;287
1079;316;299
1080;222;212
1081;209;197
1082;224;203
1083;282;245
1084;597;545
1085;375;350
1087;601;570
1088;262;259
1089;353;323
1090;562;511
1091;468;448
1092;277;267
1093;227;194
1094;190;175
1095;315;285
1096;393;361
1097;123;117
1098;263;235
1101;120;116
1107;219;193
1109;558;526
1110;380;350
1111;207;198
1112;350;328
1114;128;118
1116;326;293
1117;197;180
1118;130;122
1120;434;345
1121;122;98
1122;57;48
1123;522;489
1124;275;257
1125;255;217
1126;326;319
1127;114;100
1128;385;359
1129;263;245
1130;98;98
1131;302;269
1133;650;530
1134;438;417
1135;566;513
1136;111;100
1139;262;248
1140;400;364
1141;265;252
1142;390;371
1145;113;102
1146;394;370
1147;339;318
1149;344;320
1150;298;294
1152;753;733
1156;377;368
1157;178;155
1161;43;33
1162;588;540
1163;146;138
1166;107;100
1167;232;225
1168;241;225
1169;76;68
1170;494;465
1171;307;286
1174;71;67
1177;565;561
1178;317;306
1179;174;171
1185;67;63
1194;106;102
1195;158;156
1197;100;100
1202;13;12
1203;70;59
1204;287;272
1205;80;79
1207;69;67
1208;55;54
1209;21;20
1210;62;62
1212;36;35
1213;60;55
1214;55;54
1217;62;61
1218;58;53
1219;60;58
1220;65;53
1221;94;87
1223;284;266
1224;187;183
1226;1360;1336
1229;217;206
1230;224;205
1231;5896;5615
1232;434;399
1235;250;244
1241;1567;1544
1246;141;129
1247;260;248
1248;252;218
1251;264;252
1252;40;38
1254;213;201
1258;74;72
1260;135;130
1261;83;82
1264;227;224
1265;183;174
1269;143;135
1270;244;233
